Country;Gold;Silver;Bronze
United States;1008;811;700
Soviet Union;473;376;356
Germany;259;282;283
Italy;226;188;208
France;217;237;264
Great Britain;215;258;264
East Germany;192;165;162
Sweden;185;191;217
China;166;133;120
Hungary;159;143;163
Norway;152;147;126
Finland;142;141;167
Russia;142;125;134
Australia;134;137;167
Japan;132;122;139
Netherlands;96;108;119
Canada;95;133;151
Romania;86;89;118
South Korea;85;82;78
Switzerland;83;108;109
Austria;69;97;105
West Germany;67;82;94
Cuba;66;62;60
Poland;63;83;123
Bulgaria;52;86;79
Czechoslovakia;51;56;60
Denemark;41;64;66
Belgium;37;51;55
Turkey;37;23;22
New Zealand;36;17;34
Spain;35;49;31
Greece;30;43;37
Ukraine;29;23;49
Yugoslavia;28;34;32
Kenya;23;28;24
Brazil;20;25;46
Ethiopia;18;6;14
Argentina;17;23;26
Jamaica;13;25;17
Czech Repunlic;13;18;13
Estonia;13;9;15
Mexico;12;18;25
Iran;11;15;22
Belarus;10;22;38
Kazakhstan;10;18;16
North-Korea;10;13;20
India;9;4;7
Ireland;8;7;8
Croatia;7;9;8
Slovakia;7;9;5
Egypt;7;7;10
Thailand;7;4;10
Indonesia;6;10;10
Morocco;6;5;10
Lithuania;5;6;9
Uzbekistan;5;5;8
Georgia;5;2;11
Portugal;4;7;11
Azerbaijan;4;3;9
Algerija;4;2;8
Bahamas;4;2;4
Taiwan;3;6;11
Slovenia;3;5;11
Australasia;3;4;5
Zimbabwe;3;4;1
Pakistan;3;3;4
Cameroon;3;1;1
Nigeria;2;9;12
Mongolia;2;7;10
Chile;2;7;4
Uruguay;2;2;6
Liechtenstein;2;2;5
Tunisia;2;2;3
Dominican Republic;2;1;1
Latvia;1;9;4
Trinidad and Tobago;1;5;8
Columbia;1;3;7
Uganda;1;3;2
Peru;1;3;0
Luxembourg;1;3;0
Venezuela;1;2;8
Armenia;1;1;7
Israel;1;1;5
Costa Rica;1;1;2
Syria;1;1;1
Ecuador;1;1;0
Hong Kong;1;1;0
Panama;1;0;2
Mozambique;1;0;1
Suriname;1;0;1
United Arab Emirates;1;0;0
Burundi;1;0;0
Namibia;0;4;0
Serbia;0;3;2
Philippines;0;2;7
Moldova;0;2;3
Malaysia;0;2;2
Iceland;0;2;2
Singapore;0;2;0
Sri Lanka;0;2;0
Tanzania;0;2;0
Vietnam;0;2;0
Puerto Rico;0;1;5
Ghana;0;1;4
Bohemia;0;1;3
Lebanon;0;1;2
Kyrgyzstan;0;1;2
Haiti;0;1;1
Zambia;0;1;1
Tajikistan;0;1;1
Saudi Arabia;0;1;1
Senegal;0;1;0
Paraquay;0;1;0
Sudan;0;1;0
Tonga;0;1;0
Cote D'Ivoire;0;1;0
Virgin Islands;0;1;0
Libya;0;1;0
Netherlands Antilles;0;1;0
Qatar;0;0;2
British West Indies;0;0;2
Bermuda;0;0;1
Afghanistan;0;0;1
Barbados;0;0;1
Guyana;0;0;1
